,Price,Made Year,Manufacture,Model,Kilometer
813,31899.00,2015.0,Infiniti,Infin,34677
814,56688.00,2018.0,Jaguar,Jagua,25000
815,47500.00,2016.0,Lexus,Lexus,34600
816,41999.00,2015.0,Audi,AudiQ,71032
817,38999.00,2016.0,Audi,AudiQ,60366
818,55800.00,2015.0,BMW,BMWX6,58920
819,48800.00,2017.0,Volvo,Volvo,15378
820,59995.00,2015.0,Mercedes-Benz,Merce,48000
821,38995.00,2017.0,Jeep,JeepG,56000
822,41995.00,2016.0,Lexus,Lexus,66540
823,40799.00,2015.0,Land,Range Rover,43000
824,48999.00,2018.0,Audi,AudiQ,20473
825,42988.00,2018.0,Lincoln,Linco,28688
826,41995.00,2017.0,GMC,GMCAc,23323
827,38500.00,2016.0,Jeep,JeepG,85000
828,55598.00,2017.0,Lexus,Lexus,20083
829,35990.00,2015.0,Land,Range Rover,27000
830,55188.00,2015.0,Land,Range Rover,48000
831,39000.00,2015.0,BMW,BMWX5,95000
832,52988.00,2015.0,Mercedes-Benz,Merce,31549
833,31988.00,2014.0,Mercedes-Benz,Merce,93079
834,36988.00,2014.0,Mercedes-Benz,Merce,66170
835,37988.00,2015.0,Mercedes-Benz,Merce,77457
836,52988.00,2016.0,Mercedes-Benz,Merce,46000
837,58800.00,2015.0,Mercedes-Benz,Merce,61631
838,38500.00,2017.0,Ford,FordE,32000
839,38388.00,2018.0,Honda,Honda,17701
840,34995.00,2015.0,Jeep,JeepG,55878
841,32488.00,2015.0,Acura,Acura,66785
842,44995.00,2015.0,Mercedes-Benz,Merce,40000
843,41995.00,2015.0,Jeep,JeepG,74610
844,59999.00,2014.0,Land,Range Rover,42788
845,72999.00,2017.0,Cadillac,Cadil,67830
846,33000.00,2015.0,Mercedes-Benz,Merce,45000
847,40977.00,2013.0,Porsche,Porsc,63166
848,63988.00,2015.0,Mercedes-Benz,Merce,34223
849,30288.00,2015.0,Audi,AudiQ,58312
850,41999.00,2015.0,Mercedes-Benz,Merce,74890
851,48500.00,2018.0,Chevrolet,Chevr,35055
852,36887.00,2018.0,Mercedes-Benz,Merce,16690
853,47777.00,2017.0,Jeep,JeepG,44077
854,35998.00,2018.0,Mercedes-Benz,Merce,21586
855,33977.00,2015.0,Mercedes-Benz,Merce,88251
856,36988.00,2015.0,Mercedes-Benz,Merce,56000
857,44988.00,2015.0,Mercedes-Benz,Merce,48457
858,30354.00,2015.0,Acura,Acura,58745
859,48765.00,2017.0,JEEP,JEEPT,43210
860,36494.00,2015.0,Mercedes-Benz,Merce,66340
861,38888.00,2016.0,INFINITI,INFIN,49365
862,44497.00,2017.0,Mercedes-Benz,Merce,13368
863,41979.00,2017.0,Mercedes-Benz,Merce,39510
864,55798.00,2015.0,BMW,BMWX6,37777
865,52998.00,2016.0,Lexus,Lexus,28242
866,36988.00,2016.0,Infiniti,Infin,17964
867,44585.00,2018.0,Jeep,JeepA,14465
868,54988.00,2015.0,Mercedes-Benz,Merce,80463
869,33599.00,2016.0,Toyota,Toyot,45000
870,40999.00,2015.0,Mercedes-Benz,Merce,62405
871,48888.00,2014.0,Land,Range Rover,66200
872,68800.00,2015.0,Land,Range Rover,74343
873,32995.00,2017.0,Subaru,Subar,11743
874,32388.00,2016.0,Audi,AudiQ,78836
875,33800.00,2014.0,Mercedes-Benz,Merce,96499
876,48889.00,2018.0,Mercedes-Benz,Merce,17079
877,38500.00,2016.0,Jeep,JeepG,85000
878,56888.00,2016.0,Mercedes-Benz,Merce,48396
879,40888.00,2014.0,BMW,BMWX5,79000
880,38879.00,2015.0,Audi,AudiQ,77463
881,44995.00,2016.0,Mercedes-Benz,Merce,56000
882,46998.00,2018.0,Land,Range Rover,21868
883,32899.00,2018.0,Jeep,JeepC,25486
884,41770.00,2018.0,Dodge,Dodge,31666
885,31888.00,2017.0,Ford,FordE,35681
886,43680.00,2018.0,Jeep,JeepG,29362
887,43780.00,2018.0,Jeep,JeepG,25511
888,30488.00,2016.0,Honda,Honda,18850
889,38195.00,2016.0,Honda,Honda,43574
890,50985.00,2016.0,Mercedes-Benz,Merce,48485
891,56998.00,2017.0,Porsche,Porsc,20154
892,35998.00,2016.0,Mercedes-Benz,Merce,92050
893,38998.00,2017.0,Jeep,JeepG,40634
894,36887.00,2018.0,Mercedes-Benz,Merce,16690
895,37498.00,2017.0,Jeep,JeepW,36871
896,47598.00,2016.0,Mercedes-Benz,Merce,76008
897,36799.00,2015.0,Mercedes-Benz,Merce,54317
898,38499.00,2015.0,Mercedes-Benz,Merce,48959
899,34997.00,2015.0,Mercedes-Benz,Merce,72041
900,41888.00,2017.0,BMW,BMWX3,68010
901,42995.00,2018.0,Dodge,Dodge,18574
902,32995.00,2016.0,Toyota,Toyot,11515
903,32000.00,2015.0,Land,Range Rover,43000
904,38500.00,2016.0,Jeep,JeepG,85000
905,43498.00,2017.0,Mercedes-Benz,Merce,30716
906,32994.00,2017.0,Mercedes-Benz,Merce,31813
907,59998.00,2017.0,Mercedes-Benz,Merce,41508
908,79887.00,2018.0,Mercedes-Benz,Merce,22269
909,50987.00,2016.0,Mercedes-Benz,Merce,34499
910,43494.00,2017.0,Mercedes-Benz,Merce,33076
911,49998.00,2018.0,Mercedes-Benz,Merce,18194
912,41773.00,2017.0,Jeep,JeepG,39607
913,42798.00,2017.0,Mercedes-Benz,Merce,23155
914,33449.00,2015.0,Mercedes-Benz,Merce,81663
915,55490.00,2015.0,BMW,BMWX6,54282
916,31788.00,2016.0,Acura,Acura,45904
917,40887.00,2016.0,Mercedes-Benz,Merce,51070
918,66888.00,2018.0,Jaguar,Jagua,22364
919,42498.00,2017.0,Land,Discovery Sport,12762
920,47799.00,2016.0,Mercedes-Benz,Merce,71346
921,40498.00,2017.0,INFINITI,INFIN,40574
922,35998.00,2017.0,Buick,Buick,18570
923,30995.00,2014.0,Audi,AudiS,96000
924,43500.00,2015.0,Mercedes,Merce,71000
925,35998.00,2017.0,Buick,Buick,18570
926,38988.00,2015.0,Mercedes-Benz,Merce,62243
927,42888.00,2018.0,VOLKSWAGEN,VOLKS,24000
928,73700.00,2018.0,Chevrolet,Chevr,18200
929,58988.00,2017.0,Chevrolet,Chevr,21748
930,35788.00,2015.0,Mercedes-Benz,Merce,77000
931,60800.00,2014.0,Land,Range Rover,65907
932,79900.00,2015.0,Land,Range Rover,59000
933,49999.00,2013.0,Porsche,Porsc,63000
934,33777.00,2013.0,Land,Range Rover,92700
935,30297.00,2017.0,Nissan,Nissa,17330
936,32721.00,2016.0,Honda,Honda,73347
937,47995.00,2018.0,Dodge,Dodge,22500
938,33999.00,2015.0,Jeep,JeepG,54000
939,59800.00,2015.0,Porsche,Porsc,60503
940,67998.00,2017.0,Audi,AudiQ,25223
941,33998.00,2015.0,Mercedes-Benz,Merce,88552
942,51498.00,2017.0,Nissan,Nissa,28957
943,48889.00,2018.0,Mercedes-Benz,Merce,17079
944,35998.00,2018.0,Mercedes-Benz,Merce,21586
945,48889.00,2018.0,Mercedes-Benz,Merce,20053
946,48889.00,2018.0,Mercedes-Benz,Merce,17901
947,49998.00,2016.0,Porsche,Porsc,78168
948,30000.00,2013.0,Audi,AudiQ,83314
949,34995.00,2016.0,Lexus,Lexus,75409
950,41447.00,2017.0,Acura,Acura,31017
951,37995.00,2016.0,GMC,GMCAc,31802
952,40887.00,2016.0,Mercedes-Benz,Merce,51070
953,47777.00,2017.0,Jeep,JeepG,44077
954,35990.00,2015.0,Land,Range Rover,27000
955,77995.00,2016.0,Porsche,Porsc,26255
956,49888.00,2015.0,Porsche,Porsc,51000
957,39998.00,2017.0,Dodge,Dodge,53703
958,57977.00,2015.0,Land,Range Rover,56500
959,50800.00,2016.0,Mercedes-Benz,Merce,57000
960,65989.00,2017.0,Jaguar,Jagua,44670
961,34593.00,2017.0,Dodge,Dodge,68790
962,30999.00,2016.0,Audi,AudiQ,72054
963,43971.00,2018.0,BMW,BMWX1,28092
964,49888.00,2016.0,BMW,BMWX6,95000
965,30988.00,2017.0,Ford,FordE,14124
966,42988.00,2018.0,Lincoln,Linco,28688
967,42800.00,2015.0,Land,"Evoque DYNAMIC,",30355
968,46990.00,2016.0,BMW,BMWX5,79500
969,59988.00,2016.0,Land,Range Rover,31000
970,64500.00,2017.0,Macan,Macan,32000
971,41000.00,2017.0,Audi,AudiQ,13500
972,61995.00,2016.0,Mercedes-Benz,Merce,72692
973,45995.00,2017.0,Jeep,JeepW,27500
974,45888.00,2017.0,Volvo,Volvo,15663
